or-70-10-3-UC-10.cnf_no_p.cnf 14.99
or-70-10-3-UC-20.cnf_no_p.cnf 1.51
or-70-10-3-UC-30.cnf_no_p.cnf 0.60
or-70-10-3-UC-40.cnf_no_p.cnf 0.52
or-70-10-4-UC-10.cnf_no_p.cnf 1999.56
or-70-10-4-UC-20.cnf_no_p.cnf 439.70
or-70-10-4-UC-30.cnf_no_p.cnf 148.79
or-70-10-4-UC-40.cnf_no_p.cnf 1.07
or-70-10-5-UC-10.cnf_no_p.cnf 380.03
or-70-10-5-UC-20.cnf_no_p.cnf 2.23
or-70-10-5-UC-30.cnf_no_p.cnf 0.64
or-70-10-5-UC-40.cnf_no_p.cnf 0.65
or-70-10-6-UC-10.cnf_no_p.cnf 229.98
or-70-10-6-UC-20.cnf_no_p.cnf 6.26
or-70-10-6-UC-30.cnf_no_p.cnf 0.66
or-70-10-6-UC-40.cnf_no_p.cnf 0.57
or-70-10-7-UC-20.cnf_no_p.cnf 26.92
or-70-10-7-UC-30.cnf_no_p.cnf 1.06
or-70-10-7-UC-40.cnf_no_p.cnf 0.72
or-70-10-8-UC-10.cnf_no_p.cnf 14.66
or-70-10-8-UC-20.cnf_no_p.cnf 0.68
or-70-10-8-UC-30.cnf_no_p.cnf 0.62
or-70-10-8-UC-40.cnf_no_p.cnf 0.60
or-70-10-9-UC-10.cnf_no_p.cnf 12.26
or-70-10-9-UC-20.cnf_no_p.cnf 0.73
or-70-10-9-UC-30.cnf_no_p.cnf 0.79
or-70-10-9-UC-40.cnf_no_p.cnf 0.60
or-70-20-10-UC-10.cnf_no_p.cnf 1014.84
or-70-20-10-UC-30.cnf_no_p.cnf 153.63
or-70-20-10-UC-40.cnf_no_p.cnf 2.17
or-70-20-1-UC-10.cnf_no_p.cnf 91.97
or-70-20-1-UC-20.cnf_no_p.cnf 7.25
or-70-20-1-UC-30.cnf_no_p.cnf 8.70
or-70-20-1-UC-40.cnf_no_p.cnf 3.10
or-70-20-2-UC-10.cnf_no_p.cnf 230.04
or-70-20-2-UC-20.cnf_no_p.cnf 78.28
or-70-20-2-UC-30.cnf_no_p.cnf 10.69
or-70-20-2-UC-40.cnf_no_p.cnf 1.07
or-70-20-3-UC-20.cnf_no_p.cnf 514.92
or-70-20-3-UC-30.cnf_no_p.cnf 59.09
or-70-20-3-UC-40.cnf_no_p.cnf 1.92
or-70-20-4-UC-20.cnf_no_p.cnf 1270.29
or-70-20-4-UC-30.cnf_no_p.cnf 1.34
or-70-20-4-UC-40.cnf_no_p.cnf 0.81
or-70-20-5-UC-10.cnf_no_p.cnf 2875.66
or-70-20-5-UC-20.cnf_no_p.cnf 456.38
or-70-20-5-UC-30.cnf_no_p.cnf 35.75
or-70-20-5-UC-40.cnf_no_p.cnf 1.74
or-70-20-6-UC-10.cnf_no_p.cnf 710.55
or-70-20-6-UC-20.cnf_no_p.cnf 5.62
or-70-20-6-UC-30.cnf_no_p.cnf 0.69
or-70-20-6-UC-40.cnf_no_p.cnf 0.86
or-70-20-7-UC-10.cnf_no_p.cnf 456.89
or-70-20-7-UC-20.cnf_no_p.cnf 173.27
or-70-20-7-UC-30.cnf_no_p.cnf 1.66
or-70-20-7-UC-40.cnf_no_p.cnf 1.19
or-70-20-8-UC-30.cnf_no_p.cnf 35.16
